"","Year","Origin","Value"
"1",1991,"Somalia",119483
"2",1992,"Somalia",151816
"3",1993,"Iraq",186869
"4",1993,"Somalia",285908
"5",1994,"Iraq",257986
"6",1996,"Iraq",366993
"7",1997,"Somalia",424796
"8",1998,"Iraq",393749
"9",1998,"Somalia",449516
"10",1999,"Iraq",391362
"11",1999,"Somalia",391129
"12",2000,"Afghanistan",589690
"13",2000,"Iraq",653661
"14",2001,"Afghanistan",612848
"15",2001,"Iraq",707383
"16",2001,"Somalia",663304
"17",2002,"Afghanistan",643458
"18",2002,"Dem. Rep. of the Congo",658397
"19",2002,"Iraq",737929
"20",2002,"Somalia",636164
"21",2003,"Afghanistan",724469
"22",2003,"Dem. Rep. of the Congo",776791
"23",2003,"Iraq",703891
"24",2004,"Afghanistan",652094
"25",2004,"Dem. Rep. of the Congo",781074
"26",2004,"Somalia",761704
"27",2005,"Afghanistan",701600
"28",2005,"Dem. Rep. of the Congo",779045
"29",2005,"Somalia",710862
"30",2006,"Dem. Rep. of the Congo",900109
"31",2006,"Somalia",763745
"32",2007,"Dem. Rep. of the Congo",824192
"33",2008,"Dem. Rep. of the Congo",869493
"34",2008,"Somalia",828103
"35",2009,"Afghanistan",718080
"36",2009,"Dem. Rep. of the Congo",891061
"37",2009,"Iraq",941452
"38",2010,"Dem. Rep. of the Congo",917695
"39",2010,"Iraq",891266
"40",2010,"Somalia",885279
"41",2011,"Dem. Rep. of the Congo",975732
"42",2011,"Iraq",971614
"43",2012,"Dem. Rep. of the Congo",1029666
"44",2012,"Iraq",1068069
"45",2012,"Somalia",880408
"46",2013,"Dem. Rep. of the Congo",1013068
"47",2013,"Iraq",959779
"48",2013,"Somalia",999978
"49",2014,"Dem. Rep. of the Congo",1050519
"50",2014,"Iraq",1042099
"51",2014,"Syrian Arab Rep.",1029429
"52",2015,"Dem. Rep. of the Congo",1011346
"53",2015,"Iraq",1195080
"54",2015,"Syrian Arab Rep.",1141852
"55",2016,"Afghanistan",791669
"56",2016,"Syrian Arab Rep.",1023119
